Unit	Page	Verses	Attributions	Biblical	Comment
41Ph	5r	Rom.1.13	Φωτ(ιου)  s 	ἵνα τινα καρπὸν σχῶ καὶ ἐν ὑμῖν καθώς 	Ἵνα τινα καρπὸν σχῶ Τὸ ἵνα τινὰ καρπὸν σχῶ καθ' ὑπερβατὸν κεῖται τὸ γὰρ ἀκολουθον εἴη ἂν πολλάκις προεθέμην ἐλθεῖν πρὸς ὑμᾶς ἵνα καρπόν τινα σχῶ καὶ ἐν ὑμῖν ἀλλ' ἐκωλύθην ἄχρι τοῦ δεῦρο ἀλλ' εἴποι τις ὅτι εἰ ἡ πίστις αὐτῶν ἐν ὅλῳ τῷ κόσμῳ κατηγγέλλετο τίνα καρπὸν αὐτὸς ἤθελε παραγενόμενος παρασχεῖν ἀλλὰ πολὺν μὲν οὖν ἐροῦμεν εἰ γὰρ καὶ ἐπεπιστεύκεισαν παμπόλλων ὅμως ἐδέοντο καὶ τοῦτο δηλοῦται καὶ δι' ὅλης τῆς ἐπιστολῆς καὶ πρὸ ὀλίγου λέγοντος εἰς τὸ στηριχθῆναι ὑμᾶς καὶ ἡνίκα μὴ κρίνειν ἀλλήλους παραινεῖ καὶ ἡνίκα ἐκκλίνειν τὰς διχοστασίας καὶ τὰ σκάνδαλα καὶ μυρία οὐδὲν οὖν ἀπεικὸς καὶ τὴν πίστιν αὐτῶν καταγγέλλεσθαι καὶ αὐτοὺς ἔτι πολλῆς δεῖσθαι τῆς Παύλου ἐπικουρίας καὶ τῆς δι' αὐτοῦ καρποφορίας ὅρα δὲ πῶς φησὶν ἵνα τινὰ καρπὸν σχῶ καὶ ἐν ὑμῖν τοῦτο μὲν δεικνὺς ὅτι ὁ ἐκείνων καρπὸς οἰκεῖος ἐλογίζετο τῷ Παύλῳ καρπὸς καὶ οὕτως ἔχαιρεν ἐν τοῖς τῶν πλησίον κατορθώμασιν ὥστε καὶ αὐτὸς ἔχειν ἡγεῖτο τὸν καρπὸν τοῦτο δὲ πάλιν δεικνὺς ὅτι ἕνεκεν τῆς αὐτῶν ὠφελείας τὴν πρὸς αὐτοὺς ἔσπευδε στείλασθαι πορείαν ἂλλ' ὥστε δὲ καὶ Παύλου καρπὸς ἦν ἀληθῶς ὁ ἐκείνων καρπὸς ἔργον γὰρ ἦν καὶ σπουδὴ τὸ καρποφορεῖν τὰ ἔθνη καλῶς οὖν φησιν ἵνα τινὰ καρπὸν σχῶ ἀμφοτερα δηλῶν καὶ τὸ ἐκείνους τὴν ἀρετὴν καρποφορεῖν καὶ τὸ ἐκεῖνον αὐτοὺς τούτους ἐν γὰρ τῇ ἐκείνων καρποφορίᾳ ἡ τοῦ Παύλου ἐδείκνυτο καρποφορία ἀλλ' οὕτω μὲν ταῦτα Ἔστι δὲ καὶ μὴ καθ' ὑπερβατὸν τὸ χωρίον ἐκλαβομένους ἀλλ' ὡς ἔχει τάξεως παρειληφότας τοιοῦτον ἐν αὐτῷ θηρᾶσαι τὸν νοῦν ἐκωλύθην ἄχρι τοῦ δεῦρο διὰ τὶ φησὶν ἵνα μὴ θᾶττον ἐλθὼν ἀκάρπους ὑμᾶς ἔτι καταλήψωμαι διὸ ἀνεβαλομην τὴν παρουσίαν ἕως οὗ καὶ ἐν ὑμῖν καρπόν τινα βλαστάνοντα τῆς πίστεως ἄξιον καὶ τελεσφορούμενον μάθω τὶ οὖν ἂν καὶ καρποφορῶσιν τὶς ἡ χρεία τῆς Παύλου παρουσίας πολλὴ μὲν οὖν οὐ γὰρ πάντα τὸν καρπὸν ἀνέμενεν Παῦλος αὐτοὺς καρποφορῆσαι ἀλλὰ τινὰ καὶ μάλα εἰκοτως ὥσπερ γὰρ περιττὸν τὸ τὸν τελείους καρποφοροῦντα εἰς καρποφορίαν παραινεῖν οὕτως ἐπίπονον καὶ ὄκνον ἐμποιεῖ τὸ μὴ πρὸς καρπογονίαν εὔχρηστον καὶ παρέχον ἐλπίδας χρηστὰς εἰ δὲ καὶ καρπὸς τὶς ἦν καὶ οὗτος τέλειος οὐδ' οὕτως ἁπλῶς ἐνεκοπτετο τὴν παρουσίαν ὁ Παῦλος ὀφειλέτην γὰρ αὐτὸν ἀποκαλεῖ ὥστε εἰ καὶ τοῖς ἔργοις ἐκομων αὐτὸς ἂν τὸ αὐτοῦ οὐκ ἀπέστη ποιῶν Ἔστι δὲ καὶ ἄλλως τὸ νόημα συνιδεῖν ἐκωλύθην ἄχρι τοῦ δεῦρο διὰ τὶ ὅτι καρπόν τινα ἔτι μοι συνέλεγον λείποντα καὶ ταύτην τὴν ἔννοιαν ἐπὶ τέλει τῆς ἐπιστολῆς ὥσπερ τὰ προοιμιασθέντα ἐπιλογιζομένου τοῦ ἀποστολου ἔστι βεβαιουμένην τῶν ἄλλων ἑρμηνειῶν μᾶλλον ἰδεῖν καὶ γάρ φησιν διὸ καὶ ἐνεκοπτομην ἐλθεῖν πρὸς ὑμᾶς νυνὶ δὲ μηκέτι ἔχων τόπον ἐν τοῖς κλίμασι τούτοις ἐλεύσομαι πρὸς ὑμᾶς ὥστε ὁ ἕως τοῦ νῦν ἐλπιζομενος εἰς συλλογὴν καρπὸς ἐν τοῖς ἄλλοις κλίμασιν ἐκώλυεν αὐτὸν ἐπὶ Ῥώμην δραμεῖν ἀτέλεστον ἐν ἐκείνοις τὸ ἔργον καταλείποντα εἶτα τὸ καὶ ἐν ὑμῖν καὶ τὰ ἐφεξῆς ὥσπερ ἀντιπίπτοντος λύσις ἐστὶν οἷον τὶ φησὶν ἐν ἡμῖν οὐ μέλει σοι καρπὸν σχεῖν ναὶ φησὶ καὶ ἐν ὑμῖν τοῦτο σπεύδω τοῦτο ἐπιζητῶ ὀφειλέτης εἰμὶ χρεωστῶ πᾶσι 
42	5v	Rom.1.13	μγ  	καὶ ἐν τοῖς λοιποῖς ἔθνεσιν 	τῶ συνάπτειν αὐτοὺς τοῖς λοιποῖς καταστελλεει αὐτῶν τὸ φρόνημα 
43	5v	Rom.1.14	μδ  	Ἕλλησί τε καὶ βαρβάροις σοφοῖς τε καὶ ἀνοήτοις 	ὥσπερ φησι Ἕλλησι καὶ βαρβάροις οὕτω καὶ ὑμῖν ὀφειλέτης εἰμι 
44	5v	Rom.1.14	με  	ὀφειλέτης εἰμι 	οὐδὲν ἴδιον φησι δίδωμι ὀφειλέτης εἰμι πᾶσιν εὐαγγελίσασαι καὶ πληρῶσαι τὴν δοθεῖσάν μοι ἐντολήν 
45	5v	Rom.1.15	μϛ  	οὕτως τὸ κατ' ἐμε πρόθυμον καὶ ὑμῖν τοῖς ἐν Ῥώμῃ εὐαγγελίσασθαι 	ὥσπερ φησιν Ἕλλησι καὶ βαρβάροις σοφοῖς τε καὶ ἀνοήτοις ὀφειλέτης εἰμι οὕτως καὶ ὅσον ἧκεν εἰς τὴν ἐμὴν σπουδὴν καὶ προθυμίαν καὶ ὑμῖν εὐαγγελίσασθαι χρεωστῶ τὸ γὰρ ὀφειλέτης εἰμι ἀπὸ κοινοῦ δεκτέον 
46	5v	Rom.1.16	μζ  	οὐ γὰρ ἐπαισχύνομαι τὸ εὐαγγέλιον τοῦ Χριστοῦ 	ἐπεὶ δὲ τοῖς ἀπίστοις πολλὰ ἄδοξα δοκεῖ είναι ἐν τῶι Εὐαγγελίωι οἷον ὁ σταυρὸς ὁ θάνατος ἡ τῶν Ἰουδαίων παροινία τέως αὐτοὺς τοῦτο διδάσκει μηδὲν ἐν αὐτῶι ἄδοξον ὑπονοεῖν καὶ διὰ τοῦτο αισχύνεσθαι εἶτα λοιπὸν προβαίνων καὶ ἐξαίρει τὸ Εὐαγγέλιον 
46ex	5v	Rom.1.16	και αλλως  		ἐπειδὴ πολλοῖς προτερήμασιν οἱ Ῥωμαῖοι μέγα ἐφρόνουν οἷον πλουτῶ δυναστεία σοφίαι ὑμεῖς μέν φησιν ἐπὶ τούτοις φρονεῖτε ἐγὼ δὲ θεὸν κηρύξων ἔρχομαι ἐν μέσῳ ὑμῶν καὶ οὐκ αἰσχύνομαι διατὶ δύναμις γὰρ θεοῦ ἐστιν εἰς σωτηρίαν τῶν δεχομένων 
47	5v	Rom.1.16	μη  	δύναμις γὰρ θεοῦ ἐστιν εἰς σωτηρίαν παντὶ τῶ πιστεύοντι Ἰουδαίωι 	καλῶς τὸ εἰς σωτηρίαν ἑνὶ γὰρ καὶ εἰς τιμωρίαν δύναμις θεοῦ εἰς σωτηρίαν δὲ οὐ παντὶ ἀλλὰ τῶι πιστεύοντι τοῖς γὰρ ἀπειθοῦσι κόλασιν ἀπειλεῖ τὸ Εὐαγγέλιον 
47Ph	5v	Rom.1.16	Φωτ(ιου)  		Ἰουδαίῳ δὲ πρῶτον ὁ γὰρ Ἰουδαῖος ἀπαιτεῖται πρῶτον πιστεύειν ἅτε δὴ κατηχημένος τὰ περὶ τοῦ Χριστοῦ ἐκ νόμου καὶ τῶν προφητῶν μᾶλλον τῶν ἐθνῶν καὶ ὅτι εἰ καὶ ἐπὶ κοινῇ τοῦ γένους τῶν ἀνθρώπων σωτηρίᾳ ἐπεδήμησεν ὁ Χριστὸς ἀλλ' οὖν ἐν τοῖς Ἰουδαίοις καὶ ἐγεννήθη καὶ ἐπολιτεύσατο καὶ ἐδίδαξε καὶ τὰς θεοσημείας ἐν αὐτοῖς εἰργάσατο δι' ἃ πάντα ὀφειλέται εἰσὶν Ἰουδαῖοι πρῶτοι πιστεύειν εἰς Χριστὸν ἤπερ τὰ ἔθνη 
48	5v	Rom.1.16	μθ  	τε πρῶτον καὶ Ἕλληνι 	ῥήματος μόνον τιμὴ τὸ πρῶτον οὐ χάριτος πλεονασμός 
49	6r	Rom.1.17	ν  	δικαιοσύνη γὰρ θεοῦ 	ἵνα γὰρ μὴ σωτηρίαν καὶ δικαιοσύνην ἀκούων ἐνταῦθα μόνον αὐτον συμβαίνειν νομίσῃς ἐπάγει τὸ ἀποκαλύπτεσθαι ὅπερ καὶ τὴν ἐκεῖ δηλοῖ ὥς νυν αὐτῆς μὴ πάσης πεφανερωμένης 
49Ph	6r	Rom.1.17	Φωτ(ιου)  		Δικαιοσύνη γὰρ θεοῦ ἐν αὐτῶι ∆ικαιοσύνη γὰρ θεοῦ φησὶν ἐν τῷ εὐαγγελίῳ ἀποκαλύπτεται τοῦτ' ἔστιν ἅπασα ἡ ἀρετὴ διὰ τοῦ εὐαγγελίου φανεροῦται δικαιοσύνην γὰρ πολλάκις εἴωθε πᾶσαν λέγειν τὴν ἀρετὴν πῶς δὲ ἀποκαλύπτεται καὶ τίσι τοῖς ἐκ πίστεως τῷ εὐαγγελίῳ προσιοῦσι πᾶσι μὲν γὰρ κηρύττει τὴν ἀρετὴν τὸ εὐαγγέλιον καὶ πᾶσι παραινεῖ ἀντέχεσθαι τῆς ἀρετῆς ἐκείνοις δὲ ἀποκαλύπτει τὸ κάλλος τῆς ἀρετῆς καὶ ἐκείνους ποιεῖ ἐραστὰς αὐτῆς τοὺς μετὰ πίστεως προσιόντας τὶ οὖν παύεται ἡ πίστις τῆς ἀρετῆς κατορθουμένης οὐμενοῦν ἀλλὰ καὶ εἰς τὸ τελειότερὸν καὶ ὑψηλοτερον πρόεισιν ἐπίστευσεν πράττει διὰ τοῦτο τὴν ἀρετὴν ἀρετὴν κατορθοῖ εἰς τελειοτέραν προκόπτει πίστιν ἡ μὲν γὰρ πρώτη πίστις κατάνυξίς τις ψυχῆς ἦν καὶ προθυμία ἡ δὲ τῇ τῶν ἀρετῶν ἐργασίᾳ συναυξηθεῖσα καὶ τελειωθεῖσα πίστις βεβαίωσὶς ἐστιν ἀμετάπιστος καὶ πληροφορία καὶ ἡ μὲν ἔοικε καταβολῇ σπέρματος ἡ δὲ τῶν ἀρετῶν ἐργασίᾳ καρποφορίᾳ ἡ δὲ δι' αὐτῶν συναυξηθεῖσα καὶ τελειωθεῖσα πίστις ἀπολαύσει καὶ εὐδαιμονίᾳ οὕτως οὖν δικαιοσύνη θεοῦ ἀποκαλύπτεται ἐν τῷ εὐαγγελίῳ ἐκ πίστεως εἰς πίστιν καλεῖ δὲ θεοῦ δικαιοσύνην τὴν ἀρετὴν ὅτι θεῖον τὶ ἐστιν ἡ ἀρετὴ καὶ ὅτι πάντα τὰ ἀγαθὰ ἐκ θεοῦ 
50	6r	Rom.1.17	να  	ἐν αὐτῶι ἀποκαλύπτεται 	τῶι Εὐαγγελίωι δῆλον ὅτι 
50Pha	6r	Rom.1.17	Φωτ(ιου)  		Ἐκ πίστεως εἰς πίστιν πιστεύειν γὰρ δεῖ ὅτι θεὸς ἐφάνη ἐπὶ γῆς μετὰ σαρκὸς ὅπερ ἐστὶν ἀρχὴ καὶ πάλιν ὅτι ἔσται τοῖς πιστεύσασιν εἰς κλῆρον ἡ βασιλεία τῶν οὐρανῶν ὅπερ ἐστὶ πίστεως τέλος 
50Phb	6r	Rom.1.17	Φωτ(ιου)  		Τὸ δὲ ὁ δὲ δίκαιος ἐκ πίστεως ζήσεται μαρτυρία μὲν ἐστι τῶν εἰρημένων καὶ ἀποδειξις προφητικὴ γὰρ ἡ ῥῆσις εἰρημένη τῷ Ἀμβακοὺμ τοιοῦτον δὲ τί φησιν καλῶς εἶπον φησὶ τὸν σπουδαῖον ἐκ πίστεως εἰς πίστιν δι' ἀρετῆς προϊέναι καὶ γὰρ ὁ Ἀμβακοὺμ φησὶν ἄνωθεν τοῦτο διὰ τοῦ αὐτοῦ πνεύματος βοᾷ ὅτι ὁ σπουδαῖος ἄνθρωπος ἐκ πίστεως ζῇ τοῦτ' ἔστι πᾶσαν τὴν ζωὴν αὐτοῦ πίστει παρατεινομένην ἔχει ἢ οἰκειοτερον ἐπεὶ ζωὴ ἀληθινὴ τῷ δικαίῳ τὸ θάλλειν καὶ ἀναζῆν ἐν τῇ κτήσει τῶν ἀρετῶν ὁ δίκαιος φησὶν ἤτοι ὁ σπουδαῖος ἐκ πίστεως ζήσεται τὴν κατὰ τὰς ἀρετὰς ζωὴν ζωῆς γὰρ ἐνταῦθα τοῦ ῥητοῦ τῆς ῥεούσης καὶ ἐπικήρου οὐ λίαν ὁ λόγος οἰκεῖος καὶ εἴη ἂν τὸ ὁ δὲ δίκαιος ἐκ πίστεως ζήσεται κατασκευαστικὸν τοῦ ἀποκαλύπτεται δικαιοσύνη ἐκ πίστεως ἀλλ' οὕτω μὲν ταῦτα Εἰ δὲ τὸ δικαιοσύνη θεοῦ οὐχὶ τὴν ἐν ἀνθρώπῳ παρὰ θεοῦ διδομένην ἐκλάβοι τις ἀλλ' ἐγγύτερον τῆς λέξεως τὴν ἐνοῦσαν τῷ θεῷ καὶ ἐνεργουμένην ὑπ' αὐτοῦ τοιοῦτον τινά μοι δοκεῖ ἀνακύπτειν τὸν ἀποστολικὸν νοῦν ὅτι ἡ τοῦ θεοῦ δικαιοσύνη ἣν περὶ ἡμᾶς ἐπιδείκνυται φιλανθρωπίας ὅρῳ καὶ νόμῳ ἐν τῷ εὐαγγελίῳ αὐτοῦ δείκνυται πῶς καὶ τίνα τρόπον ὅτι ἐκ μόνης πίστεως ἡμᾶς σώζει καὶ νεκρωθέντας ἤδη ζωοποιεῖ μὴ προεπιδειξαμένους ἔργα καὶ τοῦτο καὶ προϊὼν ὁ Παῦλος ἐμφανέστερον περιστᾷ ἐν οἷς φησιν καὶ δικαιοῦντα τὸν ἐκ πίστεως καὶ πάλιν δικαιωθέντες οὖν ἐκ πίστεως καὶ πάλιν ἐὰν ὁμολογήσῃς ἐν τῷ στοματί σου κύριον Ἰησοῦν εἶτα καὶ πιστεύσῃς ἐν τῇ καρδίᾳ σου σωθήσῃ τοῦτο οὖν δικαιοσύνης θεοῦ νικώσης φιλανθρωπίαν ἀνθρωπίνην τὸ ἐκ μόνης πίστεως νεκρωθέντας ἡμᾶς τῆς ἁμαρτίαις ἤδη ἀνεγεῖραι καὶ ζωοποιῆσαι ὥστε καλῶς προεῖπεν ὅτι δύναμὶς ἐστι τὸ εὐαγγέλιον εἰς σωτηρίαν τῷ πιστεύοντι καὶ γὰρ δυναμοῦται ὁ πιστεύσας διὰ τῆς ἐν αὐτῷ ἀποκαλυπτομένης δικαιοσύνης ἀναστῆναι τοῦ ἀπὸ τῶν ἁμαρτιῶν πτώματος καὶ ζωοποιηθῆναι Καλῶς δὲ εἶπεν ἀποκαλύπτεται τοῖς μὲν γὰρ μὴ πιστεύουσι κέκρυπται ἡ τοιαύτη τοῦ θεοῦ δικαιοσύνη διὰ δὲ τῶν πιστευόντων ἀποκαλύπτεται καὶ φανεροῦται ἀλλ' εἰς τὶ ζωοποιεῖται φησὶν ὁ πιστεύσας εἰς τὴν τελειοτάτην καὶ κατ' ἀμετάπιστον ἕξεως ἰσχὺν πίστιν ἐκ γὰρ πίστεως εἰς πίστιν ἡ ζωοποίησις δυνατὸν δὲ καὶ ἄλλως κατὰ νοῆσαι ἡ τοῦ θεοῦ δικαιοσύνη διὰ τοῦ εὐαγγελίου ἀποκαλύπτεται ὅτι λαμβάνων παρ' ἡμῶν ἀρχὴν μόνον καὶ σπέρμα πίστεως αὐτὸς αὐξάνει καὶ ἑδράζει καὶ τελειοποιεῖ ἡμᾶς εἰς αὐτὴν ταύτην τοῦτο δικαιοσύνης ὡς ἀληθῶς θεοῦ τὸ μόνον ἀφορμὴν προαιρέσεως λαβόντα αὐτὸν ἀπαρτίσαι τὸ πᾶν ἵνα γὰρ μήτις εἴπῃ ἀνωτέρω λέγοντος τοῦ Παύλου ὅτι δύναμὶς ἐστι τῷ πιστεύοντι εἰς σωτηρίαν τὸ εὐαγγέλιον καὶ πῶς ἔνι πιστεῦσαι ἀκούοντα σταυρὸν ἀκούοντα θάνατον ἀκούοντα πάθη ἐπάγει τὸ δικαιοσύνη θεοῦ ἐν αὐτῷ ἀποκαλύπτεται μὴ ἔστω φησὶ ταῦτα πρόφασις ἐὰν γὰρ μόνον προαιρεθῇς τότε μᾶλλον ἔχεις θαυμάσαι τὴν τοῦ θεοῦ περὶ σὲ κηδεμονίαν καὶ πρόνοιαν ὅτι τὴν ἀπὸ γνώμης πίστιν λαβὼν αὐτος σοι χορηγεῖ τὴν ἐκ πληροφορίας πίστιν καὶ βεβαίωσιν ἀλλὰ τῶν ἀπίστων μέν τις τοῦτο οὐκ ἂν ἐπιγνῷ μυριάκις ἑρμηνευομενος τῶν δὲ πιστῶν μόνης δεῖται ἀναμνήσεως οἶδεν γὰρ τοῦτο τῇ πείρᾳ ὅτι τὴν ἐκ προαιρέσεως κατ' ἀρχὰς πίστιν αὐτὸς προβαλλόμενος ἐκ ταύτης εἰς τὴν κατὰ γνῶσιν καὶ τελειότητα πίστιν ἀνατρέχει καὶ ἀναβιβάζεται Εἶτα ἵνα μὴ νομίσῃς ὅτι καινόν τι λέγει καὶ πρόσφατον τὸν προφήτην παράγει μάρτυρα τὸ αὐτο μοι φησὶ καὶ ὁ προφήτης Ἀμβακοὺμ ἔκπαλαι ὅτι ἡ τοῦ δικαίου ζωὴ πίστει περιλαμβάνεται καὶ περατοῦται ἀρχομένη μὲν ἀπὸ τῆς κατὰ προαίρεσιν πίστεως τελειουμένη δὲ καὶ προϊοῦσα εἰς τὴν κατὰ θείαν συνεργίαν καὶ ἀποκάλυψιν πίστιν διόπερ ἀεὶ ὁ δίκαιος ἐκ πίστεως ζῇ τὸ δὲ ζήσεται καλῶς εἴρηται τοῦτ' ἔστιν ὁ δίκαιος οὐ ζῇ μὲν ἐκ πίστεως παύεται δὲ ἀλλὰ διὰ παντὸς ζήσεται ἐν αὐτῇ προκόπτων καὶ στηριζόμενος ζήσεται δὲ εἶπεν οὐκ ἄλλο τι οἷον ἐκ πίστεως προκόπτει ἢ στηρίζεται ἢ ἄλλο τι τὴν ἐπιτεταμένην διάθεσιν δηλῶν ὅτι οὐδὲ ζῆν αἱρήσεται οὐδ' ἀναπνεῖν χωρὶς πίστεως εἰ οὖν καὶ δύναμὶς ἐστιν εἰς σωτηρίαν τῷ πιστεύσαντι τὸ εὐαγγέλιον καὶ πιστεῦσαι ῥᾷον προαιρέσεως γὰρ μόνης δεῖται καὶ πιστεύσαντα ἔνι κατὰ τὴν πίστιν ἑδρασθῆναι ὑπὸ θεοῦ καὶ τελειωθῆναι καὶ τελειωθεῖσι κατὰ τὴν πίστιν ἔρως καὶ ἡδονὴ ἐμφύεται περὶ αὐτὴν ὥστε μηδὲ ζῆν αἱρεῖσθαι ἄνευ ταύτης δεῖ ἄρα προθύμως διὰ ταῦτα πάντα καὶ μετὰ σπουδῆς προσιέναι τῷ κηρύγματι τοῦ εὐαγγελίου καλῶς δὲ ἄρα καὶ Παῦλος ἔλεγεν οὐ γὰρ ἐπαισχύνομαι τὸ εὐαγγέλιον τοῦ Χριστοῦ τοσούτων ἀγαθῶν θεσαυρον ἡμῖν προξενοῦν 
